"User Name","User Type",Email,Company,"Password Set","Last Login","Last Action Taken"
"test team",member,test@team.com,"Test company",,"07 Dec 2022 10:02:39","07 Dec 2022 10:03:02"
"test employer",employer,test@company.com,"Test company",,"09 Dec 2022 06:50:39","07 Dec 2022 08:05:01"
12345,admin,1234544@gmail.com,,,,
hello,admin,test@hmail.com,,,,
test,candidate,test@hmail.com,,,,
sjhsjhdjsdjhsd,candidate,12345@gmail.com,,,,
sfdsfdsf,candidate,duplicaretest222222@gmail.com,,,,
"duplicate test",candidate,duplicaretest@gmail.com,,,,
duplicate,candidate,duplicate22223@example.com,,,"24 Oct 2022 06:58:23",
"john smith",candidate,john@smith.com,,,,
"inactive candidate 2",candidate,inactiveCandidate2@gmail.com,,"18 Oct 2022 14:43:11","19 Oct 2022 10:41:32","18 Oct 2022 14:43:41"
"inactive candidate",candidate,inactiveCandidate@gmail.com,,,"18 Oct 2022 11:12:51",
"test candidate",candidate,munib@gmail.com,,,"12 Oct 2022 09:04:31","10 Nov 2022 09:28:37"
helow,candidate,helow@gmail.com,,,"11 Oct 2022 09:37:50",
hello,candidate,hello@exampple.com,,,"11 Oct 2022 06:21:34",
test,candidate,test2@example.com,,,,
test,candidate,test@example.com,,,,
duplicatenew,candidate,duplicatenew@example.com,,,,
duplicate,candidate,duplicate3@example.com,,,,
duplicate,candidate,duplicate2@example.com,,,,
duplicate,candidate,duplicate@example.com,,,,
duplicate,candidate,duplicate@email.com,,,,
Anonymous,admin,Sbgp1CPzanonymous@example.com,,"21 Sep 2022 13:48:27","21 Sep 2022 13:48:27","21 Sep 2022 13:51:13"
Anonymous,admin,uGQ07Mu3anonymous@example.com,,"21 Sep 2022 12:50:40","21 Sep 2022 12:50:41",
AA,candidate,ayesha.bukhari+823@moebotech.com,,"12 Sep 2022 09:08:27","22 Sep 2022 10:35:31",
Ayesha,candidate,ayesha.bukhari1+349@moebotech.com,,,"22 Sep 2022 10:22:41",
AA,candidate,ayesha.bukhari2+022@moebotech.com,,,"22 Sep 2022 10:26:32",
Ayesha,candidate,ayesha.bukhari+92@moebotech.com,,,,
Ayesha,candidate,ayeshabukhari+96@gmail.com,,,"22 Sep 2022 10:34:56",
Ayesha,candidate,ayeshabukhari2228699@gmail.com,,,,
AA,candidate,ayeshabukhari2228996@gmail.com,,,,
Ayesha,candidate,ayesha.bukhari00222@moebotech.com,,,,
Ayesha,candidate,ayesha.bukhari00222@moebotech.com,,,,
Ayesha,member,ayeshabukhari996@gmail.com,"Roshaan,s Company","26 Oct 2022 12:23:56","26 Oct 2022 12:23:56","04 Aug 2022 13:36:37"
Ayesha,candidate,test123@test.hst,,,"13 Jul 2022 12:44:59",
AYESHA,candidate,TEST@gmail.com,,,,
AYESHA,candidate,ayesha.bukhari+099@moebotech.com,,,,
AA,candidate,ayesha.bukhari069@moebotech.com,,,,
Ayesha,candidate,ayesha.bukhari+770@moebotech.com,,,,
Ayesha,candidate,ayesha.bukhari+777@moebotech.com,,,,
Ayesha,candidate,ayesha.bukhari+077@moebotech.com,,,,
Ayesha,candidate,ayesha.bukhari+079@moebotech.com,,,,
,candidate,ayeshabukhari+06@gmail.com,,,,
,candidate,ayesha.bukhari+02@moebotech.com,,,,
,candidate,ayeshabukhari399@gmail.com,,,,
Ayesha,candidate,ayesha.bukhari9906643@moebotech.com,,,,
Ayesha,candidate,ayesha.bukhari06643@moebotech.com,,,,
Ayesha,candidate,ayesha.bukhari0943@moebotech.com,,,,
Ayesha,candidate,ayesha.bukhari0949@moebotech.com,,,,
"Team member",member,roshaan.tahir+member@moebotech.com,"Roshaan,s Company","10 Feb 2022 12:50:54","04 Nov 2022 10:09:39","04 Aug 2022 13:32:43"
"Roshaan Employer",employer,roshaan.tahir+employer@moebotech.com,"Roshaan,s Company","17 Oct 2022 13:50:30","07 Dec 2022 11:50:38",
"roni 3",candidate,roshaan.tahir+candidate3@moebotech.com,,,"21 Jul 2022 13:00:53",
"roni 2",candidate,roshaan.tahir+candidate2@moebotech.com,,,"27 Oct 2022 10:13:19",
"Roni 1",candidate,roshaan.tahir+candidate1@moebotech.com,,,"07 Dec 2022 11:56:26",
Roshaan,admin,roshaan.tahir@outlook.com,"Roshaan,s Company 3333333",,"12 Dec 2022 10:04:20","12 Dec 2022 10:49:18"
